,0
527,12
528,26
529,15
530,21
531,5
532,5
533,67
534,6
535,23
536,24
537,14
538,15
539,12
540,8
541,63
542,25
543,21
544,24
545,12
546,43
547,59
548,11
549,29
550,6
551,93
552,22
553,16
554,4
555,17
556,38
557,67
558,3
559,18
560,3
561,10
562,1
563,44
564,26
565,5
566,5
567,32
568,66
569,18
570,54
571,17
572,3
573,4
574,3
575,58
576,2
577,17
578,20
579,31
580,13
581,34
582,18
583,3
584,39
585,4
586,13
587,33
588,35
589,61
590,26
591,14
592,55
593,46
594,52
595,13
596,74
597,10
598,48
599,19
600,27
601,20
602,15
603,65
604,7
605,23
606,11
607,54
608,7
609,8
610,3
611,30
612,22
613,23
614,39
615,6
616,50
617,22
618,45
619,24
620,6
621,87
622,20
623,14
624,21
625,43
626,70
627,14
628,42
629,4
630,51
631,1
632,6
633,59
634,22
635,15
636,8
637,43
638,20
639,45
640,37
641,35
642,34
643,7
644,12
645,11
646,46
647,47
648,19
649,56
650,6
651,4
652,14
653,26
654,22
655,1
656,2
657,43
658,2
659,10
660,2
661,58
662,1
663,13
664,7
665,8
666,24
667,35
668,31
669,8
670,17
671,20
672,32
673,29
674,18
675,69
676,38
677,13
678,37
679,20
680,47
681,16
682,6
683,44
684,15
685,4
686,33
687,20
688,79
689,30
690,4
691,20
692,33
693,24
694,5
695,8
696,56
697,27
698,72
699,51
700,6
701,33
702,27
703,41
704,14
705,17
706,34
707,7
708,20
709,2
710,12
711,13
712,7
713,20
714,14
715,15
716,36
717,4
718,4
719,23
720,53
721,13
722,34
723,47
724,18
725,1
726,9
727,47
728,1
729,30
730,5
731,8
732,50
733,19
734,1
735,22
736,2
737,3
738,26
739,2
740,3
741,28
742,7
743,6
744,1
745,21
746,26
747,5
748,5
749,32
750,2
751,8
752,15
753,2
754,90
755,22
756,27
757,32
758,18
759,1
760,38
761,52
762,25
763,73
764,6
765,72
766,27
767,36
768,10
769,24
770,14
771,78
772,46
773,33
774,20
775,35
776,60
777,75
778,2
779,41
780,48
781,40
782,1
783,56
784,22
785,5
786,6
787,16
788,20
789,98
790,44
791,6
792,13
793,26
794,28
795,32
796,33
797,25
798,5
799,7
800,2
801,27
802,21
803,11
804,4
805,68
806,9
807,45
808,18
809,26
810,38
811,3
812,8
813,16
814,3
815,20
816,76
817,17
818,47
819,51
820,6
821,10
822,18
823,9
824,12
825,37
826,1
827,18
828,36
829,8
830,3
831,11
832,34
833,60
834,28
835,8
836,30
837,81
838,5
839,2
840,9
841,61
842,9
843,46
844,1
845,7
846,6
847,10
848,12
849,91
850,43
851,4
852,2
853,16
854,27
855,5
856,18
857,2
858,6
859,7
860,2
861,58
862,47
863,6
864,3
865,4
866,33
867,2
868,31
869,6
870,61
871,1
872,51
873,12
874,2
875,4
876,4
877,32
878,44
879,47
880,5
881,6
882,17
883,18
884,5
885,7
886,34
887,8
888,20
889,51
890,5
891,13
892,23
893,33
894,4
895,20
896,31
897,10
898,2
899,4
